cnpj,ticker,ano,setor,receita_liq,ebit,ebitda,lucro_liq,pl,divida_liq,ativo_total,roe,roic,margem_liq,margem_ebitda,div_ebitda,cresc_receita,pl_multiplo,pvpa,ev_ebitda,dy,mkt_cap,label,selic_ano,var_selic_ano,ipca_ano,var_cambio_ano,pib_var_ano,risco_divida_selic,impulso_pib
07.206.816/0001-15,MDIA3.SA,2021,Industrial,7814046000.0,396964000.0,408310000.0,504986000.0,7032288000.0,195168000.0,10657093000.0,0.0718096300947856,0.0363080467521382,0.0646254194050047,0.0522533396911152,0.4779897626803164,0.0774243559897216,14.322033016247037,1.0284598931020068,18.191066015386657,0.0189,7232426164.742525,1.0,4.4191666666666665,1.6300000000000003,0.73,0.0738545615486752,4.76,0.7791233131689159,4.76
07.206.816/0001-15,MDIA3.SA,2022,Industrial,10129205000.0,583182000.0,582866000.0,481839000.0,6708721000.0,1561902000.0,11439492000.0,0.0718227811232573,0.0444183747569055,0.0475692811035022,0.0575431141930684,2.679693102702851,0.2962817214027151,22.883227582063213,1.6435370460202112,21.596616537787,0.0189,11026031494.913755,0.0,12.430833333333334,8.011666666666667,0.62,-0.0650120956903503,3.02,21.46880790782101,3.02
07.206.816/0001-15,MDIA3.SA,2023,Industrial,10840280000.0,1068610000.0,1068819000.0,888654000.0,7604694000.0,-111985000.0,12340992000.0,0.116855983948861,0.1354018792092733,0.0819770338035549,0.0985969919596172,-0.104774522159505,0.0702004747657887,13.602943843158974,1.5895853873934438,11.205195134067225,0.0189,12088310457.998596,0.0,13.2,0.769166666666667,0.56,-0.0721390651053145,3.24,-0.0805890699610193,3.24
07.206.816/0001-15,MDIA3.SA,2024,Industrial,9662833000.0,829349000.0,834340000.0,645948000.0,7997943000.0,219955000.0,12768867000.0,0.0807642665120269,0.0791911570747219,0.066848718176129,0.0863452778289762,0.2636275379341755,-0.108617766330759,9.79761936221124,0.7912975413530237,7.848967605270784,0.0189,6328752631.781626,,10.839166666666667,-2.360833333333332,0.52,0.2790572780038418,3.42,-0.622380679139599,3.42
47.960.950/0001-21,MGLU3.SA,2010,Industrial,4808024000.0,251433000.0,337133000.0,68834000.0,47436000.0,399276000.0,3927780000.0,1.451091997638924,0.3523151664770939,0.0143164842771167,0.0701188263619316,1.184327846873489,,,,,,,,9.8025,-0.2600000000000015,0.63,-0.043568107456518,7.53,-0.307925240187109,7.53
47.960.950/0001-21,MGLU3.SA,2011,Industrial,6419371000.0,213660000.0,320040000.0,11666000.0,620945000.0,463261000.0,4877354000.0,0.0187874932562465,0.0479581628794943,0.0018173120076717,0.049855351871702,1.4475096862892138,0.335137054224355,156.25252779120964,2.9355933121488245,7.143178943920296,0.43,1822841989.212252,1.0,11.665,1.862499999999999,0.5,0.1257952226623455,3.97,2.6959867907136594,3.97
47.960.950/0001-21,MGLU3.SA,2012,Industrial,7665112000.0,148265000.0,246154000.0,-6745000.0,615992000.0,637609000.0,5664755000.0,-0.0109498175300977,0.2033476692368593,-0.0008799610494928,0.0321135555488295,2.5902849435719104,0.1940596672166166,-344.63727961693075,3.773715325874684,12.033878998578931,0.43,2324578451.016198,0.0,8.530833333333334,-3.134166666666665,0.79,0.0894018552084443,1.92,-8.118384727311627,1.92
47.960.950/0001-21,MGLU3.SA,2013,Industrial,8088439000.0,374966000.0,493652000.0,113806000.0,694611000.0,548686000.0,4713904000.0,0.163841344291985,0.2619977773809543,0.0140702056354755,0.0610318010681665,1.1114833931595538,0.0552277644475383,12.692573508102871,2.0795683060924106,4.037615609099437,0.43,1444491020.6631556,1.0,8.178333333333335,-0.3524999999999991,0.92,0.1463665280156594,3.0,-0.3917978960887417,3.0
47.960.950/0001-21,MGLU3.SA,2014,Industrial,9779385000.0,490928000.0,657473000.0,128556000.0,754467000.0,848478000.0,5290037000.0,0.1703931384672888,0.3024316571342029,0.0131456119173138,0.0672305058037903,1.2905138309862154,0.2090571493461221,11.759523979109474,2.003742197681804,3.589858997492517,0.43,1511757364.6583977,0.0,10.855833333333337,2.6775,0.78,0.1338683514044225,0.5,3.455350782465592,0.5
47.960.950/0001-21,MGLU3.SA,2015,Industrial,8978259000.0,338926000.0,591884000.0,-65605000.0,575656000.0,708222000.0,5501981000.0,-0.1139656322525953,0.4102605422683488,-0.0073070959525671,0.0659241396355351,1.1965554061268762,-0.0819198753295835,-6.806718850963952,0.7757320174157658,1.951018764179282,0.43,446554790.2174901,1.0,13.366666666666667,2.5108333333333324,0.96,0.4700700248475264,-3.55,3.004351198883564,-3.55
47.960.950/0001-21,MGLU3.SA,2016,Industrial,9508745000.0,580945000.0,835459000.0,86565000.0,621586000.0,430651000.0,6100606000.0,0.1392647196043669,0.4842947102708427,0.0091037250446825,0.087862173188996,0.5154663484384033,0.0590856200517271,31.030593926294763,4.32146696230241,3.73066106562944,0.43,2686163363.2297063,1.0,14.079166666666667,0.7125000000000004,0.3,-0.1653605818479818,-3.28,0.3672697732623625,-3.28
47.960.950/0001-21,MGLU3.SA,2017,Industrial,11984250000.0,887694000.0,1068453000.0,389022000.0,2073977000.0,-800762000.0,7419513000.0,0.1875729576557502,0.5687651347990942,0.0324611052005757,0.0891547656298892,-0.7494592649372503,0.2603398240251473,42.191148613712,7.913918532367269,14.61226934268842,0.43,16413285016.003471,1.0,10.079166666666667,-4.0,0.44,0.0150041422478597,1.32,2.9978370597490014,1.32
47.960.950/0001-21,MGLU3.SA,2018,Industrial,15590444000.0,1081551000.0,1131265000.0,597429000.0,2302872000.0,-552231000.0,8796741000.0,0.2594277927735454,0.4690693795115843,0.038320204350819,0.0725614357102337,-0.4881535272460475,0.3009111125018253,62.18261599672167,16.131898816914457,32.35092316327777,0.43,37149698092.30543,1.0,6.483333333333334,-3.595833333333333,0.15,0.1713422007255138,1.78,1.7553187250555793,1.78
47.960.950/0001-21,MGLU3.SA,2019,Industrial,19886310000.0,1288563000.0,1492299000.0,921828000.0,7564937000.0,-3905075000.0,19791073000.0,0.1218553439374313,0.2664342623860889,0.0463549044543708,0.0750415235405663,-2.616818077342409,0.2755448145030379,85.56752797259857,10.426860550976777,50.24024553787451,0.43,78878543175.92459,1.0,5.940000000000001,-0.543333333333333,1.15,0.0402343346753382,1.22,1.4218044886893748,1.22
47.960.950/0001-21,MGLU3.SA,2020,Industrial,29177113000.0,824576000.0,1053064000.0,391709000.0,7325287000.0,-1216393000.0,24647203000.0,0.0534735362587158,0.1276869012103997,0.0134252144823238,0.0360921246731984,-1.1550988353984184,0.4671959252370097,422.5487812803011,22.595177576868387,156.02068589043543,0.43,165516160566.52548,0.0,2.789166666666666,-3.150833333333335,1.35,0.2892797777061056,-3.28,3.639523913867852,-3.28
47.960.950/0001-21,MGLU3.SA,2021,Industrial,35278150000.0,470602000.0,869959000.0,590661000.0,11261231000.0,2670283000.0,38384616000.0,0.0524508377458911,0.1589124329579764,0.0167429697985863,0.0246599949260377,3.069435456153681,0.2091035189122378,81.14907760107859,4.256337102482906,58.16581968222719,0.43,47931595324.93068,0.0,4.4191666666666665,1.6300000000000003,0.73,0.0738545615486752,4.76,5.003179793530501,4.76
47.960.950/0001-21,MGLU3.SA,2022,Industrial,37299002000.0,771635000.0,1985060000.0,-498975000.0,10648701000.0,4384414000.0,37765845000.0,-0.0468578280111348,0.0824816209704374,-0.0133777037787767,0.0532201907171671,2.208706034074537,0.0572833892933728,-36.454946175711896,1.7081995980566875,11.372210798679054,0.43,18190106768.025845,0.0,12.430833333333334,8.011666666666667,0.62,-0.0650120956903503,3.02,17.695416509660497,3.02
47.960.950/0001-21,MGLU3.SA,2023,Industrial,36768149000.0,-372148000.0,928728000.0,-979104000.0,9610534000.0,3982437000.0,37455067000.0,-0.1018782098892735,-0.0417709092983581,-0.0266291349069543,0.0252590360205513,4.28805527560276,-0.0142323647158173,-14.645681343747976,1.4920757979097747,19.728146654767617,0.43,14339645186.38902,0.0,13.2,0.769166666666667,0.56,-0.0721390651053145,3.24,3.298229182817791,3.24
47.960.950/0001-21,MGLU3.SA,2024,Industrial,38038068000.0,1562432000.0,2511915000.0,448717000.0,11319262000.0,2417069000.0,37311858000.0,0.0396418953815186,-0.3565891926170921,0.0117965244712218,0.0660368712732728,0.9622415567405744,0.0345385621669451,10.281671388371208,0.4075849415249655,2.798912280222764,0.43,4613560740.375764,,10.839166666666667,-2.360833333333332,0.52,0.2790572780038418,3.42,-2.2716919418717048,3.42
21.314.559/0001-66,MOVI3.SA,2014,Industrial,60263000.0,10662000.0,10662000.0,4766000.0,627884000.0,168406000.0,1373003000.0,0.0075905740550802,0.0111253148820752,0.0790866700960788,0.1769244810248411,15.794972800600265,,,,,,,,10.855833333333337,2.6775,0.78,0.1338683514044225,0.5,42.29103967360721,0.5
